lsanr,x,y,standort,baulast,bezirk,blindens,bemerkung,locid,mapem
2116,23593583.775573,56386523.254115,Sürther Straße / Grüngürtelstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2117,23595381.316256,56381661.21741,Sürther Straße / Pfarrer-Te-Reh-Straße / Martinsweg,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2120,23596371.428806,56372911.608014,Sürther Straße / Kölnstraße / Am Feldrain / Wattigniesstraße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2121,23601384.852908,56367062.340294,Sürther Hauptstraße / Kölnstraße / Rheinaustraße / Schule,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2122,23593979.971881,56372050.239429,Industriestraße / Wattigniesstraße / Auffahrt,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2123,23592820.471006,56372916.882041,Industriestraße / Wattigniesstraße / Abfahrt,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2124,23590640.087856,56367771.28909,Industriestraße / Ober Buschweg / Emil-Hoffmann-Straße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2130,23584141.143995,56395952.81335,Friedrich-Ebert-Straße / Römerstraße / Konrad-Adenauer-Straße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2131,23586443.325014,56390065.601911,Schillingsrotter Straße / Römerstraße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2314,23580643.099591,56410103.789914,Oberländer Ufer / Marienburger Straße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2310,23574236.494227,56422192.762463,Gustav-Heinemann-Ufer / Schönhauser Straße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2311,23575751.192982,56418718.013532,Gustav-Heinemann-Ufer / Tacitusstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2312,23577771.92677,56414793.419568,Gustav-Heinemann-Ufer / Bayenthalgürtel,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2313,23579694.860605,56411490.196315,Oberländer Ufer / An der Alteburger Mühle,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2080,23541292.265366,56399400.360294,Am Eifeltor / BAB4 Nord / GVZ,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2081,23540314.235937,56396708.371372,Am Eifeltor / BAB4 Süd / GVZ,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2082,23539840.901773,56395083.558868,Am Eifeltor / Zufahrt 1 / GVZ,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2083,23538588.066511,56388340.117581,Am Eifeltor / Zufahrt 3 / Zollstocker Weg-ehmals,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,nein
2084,23537025.282138,56386401.36671,Am Eifeltor / Zufahrt 4 / Zollstocker Weg-ehmals,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,nein
2085,23535076.042857,56384531.359531,Am Eifeltor / Zufahrt 5 / Zollstocker Weg-ehmals,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2102,23591570.684203,56396247.061855,Hauptstraße / Weißer Straße / Sürther Straße / Gudrunstraße / Walther-Rathenau-Straße,Stadt Köln,Rodenkirchen,nein,---,nein,ja
2104,23594922.619841,56391371.834373,Weißer Straße / Siegstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2110,23586647.354342,56396879.537121,Ringstraße / Maternusstraße / Brückenstraße,Stadt Köln,Rodenkirchen,ja - akustisch+taktil,---,nein,ja
2112,23590696.809579,56391784.817812,Ringstraße / Siegfriedstraße / Rotterbergstraße,Stadt Köln,Rodenkirchen,nein,---,nein,nein
2050,23553144.26446,56426031.656383,Höninger Weg / Am Vorgebirgstor / Pohligstraße,Stadt Köln,Rodenkirchen,ja - taktil,---,nein,ja
2052,23552988.641621,56419253.666832,Höninger Weg / Gottesweg,Stadt Köln,Rodenkirchen,ja - taktil,---,nein,ja
2053,23552600.060552,56417818.548861,Höninger Weg / Bernkasteler Straße / Zollstocksweg,Stadt Köln,Rodenkirchen,ja - taktil,---,nein,ja
2054,23552695.532273,56415983.499404,Höninger Weg / Kalscheurer Weg / Walberberger Straße,Stadt Köln,Rodenkirchen,ja - taktil,---,nein,ja
2055,23553142.894744,56412713.233101,Höninger Weg / Zollstockgürtel,Stadt Köln,Rodenkirchen,ja - taktil,---,nein,ja
3000,23479327.631617,56483150.079329,Hauptstraße / Neue Sandkaul / Alte Sandkaul,Stadt Köln,Lindenthal,ja - taktil,---,nein,nein
3001,23475173.769761,56481157.700576,Hauptstraße / Leonhardsgasse / Blaugasse,Stadt Köln,Lindenthal,nein,---,nein,nein
3002,23475348.501178,56461577.327292,Brauweilerstraße / Zaunstraße / Karl-Kaulen-Straße,Stadt Köln,Lindenthal,ja - taktil,---,nein,nein
3003,23476082.439992,56460186.539585,Brauweilerstraße / Kölner Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3004,23476493.379372,56459219.174092,Brauweilerstraße / Moltkestraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3005,23479093.258655,56461164.758036,Kölner Straße / Otterweg / Biberweg,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3006,23500263.762933,56467221.780411,Gregor-Mendel-Ring / Belvederestraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3100,23523739.160246,56454655.746509,Maarweg / Stolberger Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3102,23514216.593563,56456172.002703,Stolberger Straße / Linnicher Straße / Kindergarten,Stadt Köln,Lindenthal,nein,---,nein,nein
3104,23510179.214968,56454014.772665,Alter Militärring / Wendelinstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3107,23514990.047572,56460965.697698,Widdersdorfer Straße / Vitalisstraße,Stadt Köln,Lindenthal,nein,---,nein,ja
3110,23486376.595185,56455863.986137,Ludwig-Jahn-Straße / Stormstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3111,23478677.688094,56456829.730525,Brauweilerstraße / Goethestraße / Bahnstraße / Ludwig-Jahn-Straße,Stadt Köln,Lindenthal,ja - taktil,---,nein,ja
3117,23500859.665735,56450144.198561,Kirchweg / Frankenstraße / Am Römerhof,Stadt Köln,Lindenthal,nein,---,nein,ja
3119,23494437.7,56444519.6,Kölner Weg / Am Weidenpesch / Kirchweg,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3120,23491635.522823,56448447.159538,Vogelsanger Weg / Blumenallee / Eifelallee,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3121,23484649.148911,56448651.387038,Ostlandstraße / Breslauer Straße / Diepenbeekallee,Stadt Köln,Lindenthal,nein,---,nein,ja
3122,23482235.995607,56448859.654406,Ostlandstraße / Göttinger Straße / Stettiner Weg,Stadt Köln,Lindenthal,nein,---,nein,nein
3123,23477418.370962,56449071.698899,Ostlandstraße / An der Alten Post,Stadt Köln,Lindenthal,nein,---,nein,nein
3124,23472995.612691,56449495.814936,Grüner Weg / Am Kliepesch / Frechener Weg,Stadt Köln,Lindenthal,nein,---,nein,nein
3126,23512626,56461342.8,Widdersdorfer Straße / Girlitzweg,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3127,23512075.630973,56461248.414945,Widdersdorfer Straße / Handelshof,Stadt Köln,Lindenthal,nein,---,nein,nein
3130,23538624.03696,56443349.118834,Dürener Straße / Classen-Kappellmann-Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3131,23537096.160663,56442564.739621,Dürener Straße / Hans-Sachs-Straße / Schallstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3132,23536107.223452,56442114.660993,Dürener Straße / Geibelstraße,Stadt Köln,Lindenthal,nein,---,nein,ja
3133,23534826.374822,56441376.265007,Dürener Straße / Klosterstraße / Lindenburger Allee,Stadt Köln,Lindenthal,nein,---,nein,ja
3135,23531921.257686,56439673.287083,Dürener Straße / Hillerstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3137,23517373.977496,56435693.172622,Dürener Straße / Militärringstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3138,23496242.086396,56432226.034316,Dürener Straße / Marsdorfer Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
3139,23493463.714874,56431401.439908,Dürener Straße / Horbeller Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
3140,23492340.179339,56431086.907113,Dürener Straße / Max-Planck-Straße Ost,Stadt Köln,Lindenthal,ja - taktil,---,nein,nein
3141,23489687.421429,56430349.26062,Dürener Straße / Hermann-Heinrich-Gossen-Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
3142,23495124.851504,56425990.300461,Horbeller Straße / Toyota-Allee,Stadt Köln,Lindenthal,nein,---,nein,nein
3143,23489024.264471,56430184.11023,Dürener Straße / Emmy-Noether Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3145,23535183.262444,56438859.126581,Bachemer Straße / Lindenburger Allee,Stadt Köln,Lindenthal,nein,---,nein,nein
3150,23540468.388674,56441607.001617,Bachemer Straße / Weyertal,Stadt Köln,Lindenthal,nein,---,nein,nein
3151,23539345.411263,56441428.548635,Bachemer Straße / Hans-Sachs-Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3154,23535286.427832,56436672.518845,Gleueler Straße / Lindenburger Allee / Schule,Stadt Köln,Lindenthal,nein,---,nein,nein
3155,23529194.768334,56431932.120823,Gleueler Straße / Mommsenstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3156,23527839.199732,56430439.263094,Gleueler Straße / Freiligrathstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3160,23542642.384835,56435251.520093,Kerpener Straße / Weyertal,Stadt Köln,Lindenthal,nein,---,nein,nein
3162,23538774.584888,56433890.901654,Kerpener Straße / Joseph-Stelzmann-Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
3163,23535513.706696,56433183.023629,Kerpener Straße / Rurstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3174,23528128.747937,56429365.793993,Zülpicher Straße / Freiligrathstraße / Krieler Dom,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3176,23534755.513601,56427089.911704,Euskirchener Straße / Mommsenstraße / Schule,Stadt Köln,Lindenthal,nein,---,nein,nein
3181,23542873.477435,56429371.347915,Berrenrather Straße / Redwitzstraße / Schule,Stadt Köln,Lindenthal,nein,---,nein,nein
3182,23541035.439038,56427234.700116,Berrenrather Straße / Sülzburgstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3183,23539246.979,56424545.677182,Berrenrather Straße / Manderscheider Platz,Stadt Köln,Lindenthal,nein,---,nein,nein
3184,23533315.234993,56416281.474051,Berrenrather Straße / Scherfginstraße / Schule,Stadt Köln,Lindenthal,nein,---,nein,ja
3187,23542061.742419,56419944.293233,Klettenberggürtel / Petersbergstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3188,23543601.03231,56418647.888536,Klettenberggürtel / Siebengebirgsallee,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3189,23544818.101503,56417621.757102,Klettenberggürtel / Rhöndorfer Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3197,23550148.262454,56428144.804736,Weißhausstraße / Pohligstraße / Rhöndorfer Straße / Rudolf-Amelunxen-Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3198,23541223.923766,56420650.805133,Klettenberggürtel / Wende-Kirche-Bruno,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3521,23534328.036352,56412397.796107,Luxemburger Straße / Militärringstraße,HGK,Lindenthal,nein,---,nein,nein
3639,23501815.311728,56450734.729346,Aachener Straße / Am Römerhof,Stadt Köln,Lindenthal,nein,---,nein,ja
3640,23501024.875032,56450736.873899,Aachener Straße / Kirchweg / Brauweilerweg,Stadt Köln,Lindenthal,nein,---,nein,ja
3642,23498716.755602,56450820.78935,Aachener Straße / Rosenweg,Stadt Köln,Lindenthal,nein,---,nein,ja
3643,23497137.505335,56450865.038979,Aachener Straße / Liebermannstraße / Kornblumenweg,Stadt Köln,Lindenthal,nein,---,nein,ja
3644,23494552.90971,56451040.258293,Aachener Straße / Mohnweg,Stadt Köln,Lindenthal,nein,---,nein,ja
3645,23491147.899474,56451218.842264,Aachener Straße / Vogelsanger Weg,Stadt Köln,Lindenthal,nein,---,nein,ja
3646,23489716.711573,56451336.119991,Aachener Straße / BAB1 Ost,Stadt Köln,Lindenthal,nein,---,nein,ja
3647,23487434.814199,56451449.989634,Aachener Straße / Kurze Straße / Körnerstraße,Stadt Köln,Lindenthal,nein,---,nein,ja
3648,23486559.530309,56451506.621041,Aachener Straße / BAB1 West,Stadt Köln,Lindenthal,nein,---,nein,ja
3649,23485489.576834,56451599.192859,Aachener Straße / Bahnstraße / Breslauer Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
3650,23483043.608762,56451738.751993,Aachener Straße / Römerstraße,Stadt Köln,Lindenthal,nein,---,nein,ja
3651,23480236.770892,56451862.975717,Aachener Straße / Bunzlauer Straße / Hans-Willy-Mertens-Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
3652,23478856.513919,56451904.131594,Aachener Straße / HST Weiden,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3653,23477722.897205,56452055.332238,Aachener Straße / Goethestraße / An der Alten Post,Stadt Köln,Lindenthal,nein,---,nein,ja
3654,23474896.06412,56452180.361076,Aachener Straße / Schulstraße,Stadt Köln,Lindenthal,ja - taktil,---,nein,ja
3655,23472819.715188,56452304.872141,Aachener Straße / Moltkestraße / Frechener Weg,Stadt Köln,Lindenthal,ja - taktil,---,nein,ja
3656,23470343.752781,56452445.643126,Aachener Straße / Am Rapohl / Bodelschwinghstraße,Stadt Köln,Lindenthal,nein,---,nein,ja
3657,23468301.93509,56452582.758989,Aachener Straße / Friedhof-Weiden,Stadt Köln,Lindenthal,nein,---,nein,ja
3103,23512181.351221,56456321.870909,Vitalisstraße / Stolberger Straße / Wendelinstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3108,23505045.836059,56460678.943681,Belvederestraße / DB-Überführung / Schule,Stadt Köln,Lindenthal,nein,---,nein,nein
3125,23516459.202026,56460650.739483,Widdersdorfer Straße / Josef-Lammerting-Allee / Vitalisstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3157,23523897.420356,56426916.22167,Gleueler Straße / Decksteiner Straße / Wende Bus,Stadt Köln,Lindenthal,nein,---,nein,nein
3105,23512798.166022,56452348.171054,Militärringstraße / Aachener Straße Nord,Stadt Köln,Lindenthal,nein,---,nein,ja
3106,23512888.836592,56449387.535835,Militärringstraße / Aachener Straße Süd,Stadt Köln,Lindenthal,nein,---,nein,ja
3186,23547161.939234,56422476.586824,Gottesweg / Rhöndorfer Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
3190,23541994.942486,56449490.999126,Innere Kanalstraße / Hollarstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3191,23541797.958412,56444871.03819,Universitätsstraße / Dürener Straße,Stadt Köln,Lindenthal,ja - taktil,---,nein,nein
3192,23542952.954227,56441975.211777,Universitätsstraße / Bachemer Straße / Innerer Gürtel,Stadt Köln,Lindenthal,ja - taktil,---,nein,nein
3504,23548278.379869,56432309.487692,Luxemburger Straße / Greinstraße / Wende-Amts.-u. Landgericht,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3505,23547116.125783,56430599.647156,Luxemburger Straße / Universitätsstraße / Weißhausstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3506,23546318.933215,56429451.322548,Luxemburger Straße / Konradstraße / Rennebergstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3507,23545480.156059,56428264.663082,Luxemburger Straße / Arnulfstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3508,23544874.566572,56427398.728142,Luxemburger Straße / Lotharstraße / Leybergstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3509,23544014.591244,56426182.910041,Luxemburger Straße / Wittekindstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3510,23543165.825266,56424996.654175,Luxemburger Straße / Sülzburgstraße / Gottesweg,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3511,23542007.540061,56423359.690508,Luxemburger Straße / Hardtstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3512,23541147.874269,56422126.8454,Luxemburger Straße / Breibergstraße / Manderscheider Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3513,23540530.670998,56421221.353405,Luxemburger Straße / Klettenberggürtel / Sülzgürtel,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3514,23539745.096645,56420112.574446,Luxemburger Straße / Ölbergstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3515,23539151.124312,56419286.187779,Luxemburger Straße / Neuenhöfer Allee / Schule,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3516,23538692.303103,56418584.386993,Luxemburger Straße / Nassestraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3517,23536976.015517,56416242.643721,Luxemburger Straße / Geisbergstraße / Klettenbergpark,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3518,23535687.193275,56414323.794025,Luxemburger Straße / Scherfginstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3520,23542691.21541,56424349.533062,Luxemburger Straße / Gottesweg,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3619,23541839.046396,56448315.582713,Aachener Straße / Innere Kanalstraße / Universitätsstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3620,23540822.448168,56448316.923534,Aachener Straße / Haselbergstraße,Stadt Köln,Lindenthal,nein,---,nein,ja
3621,23539903,56448344.3,Aachener Straße / Piusstraße / Richard-Strauß-Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3622,23536171.103998,56448554.223319,Aachener Straße / Friedhof-Melaten / Brucknerstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3623,23533495.953928,56448765.14463,Aachener Straße / Oskar-Jäger-Straße / Klosterstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3624,23530565.417313,56449044.496003,Aachener Straße / Melatengürtel / Stadtwaldgürtel,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3625,23526960.671312,56449231.204443,Aachener Straße / Fürst-Pückler-Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3626,23524655.021766,56449375.057442,Aachener Straße / Maarweg / Kitschburger Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3627,23523447.047845,56449444.224849,Aachener Straße / Braunstraße / Hermann-Pflaume-Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3628,23520893.4,56449630.7,Aachener Straße / Peter-von-Fliessteden-Straße / Voigtelstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3629,23520062,56449693.4,Aachener Straße / Eschweilerstraße / HGK-Übergang,Stadt Köln,Lindenthal,nein,---,nein,ja
3630,23517749.672607,56449846.171744,Aachener Straße / Eupener Straße / Raschdorffstraße,Stadt Köln,Lindenthal,ja - taktil,---,nein,ja
3631,23516821.821212,56449913.947321,Aachener Straße / Meister-Johann-Straße / Herbesthaler Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3634,23511199.995981,56450377.864385,Aachener Straße / Alter Militärring / Auf dem Hügel,Stadt Köln,Lindenthal,nein,---,nein,ja
3635,23508735,56450535,Aachener Straße / Lövenicher Weg / Wendelinstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3636,23507533.519424,56450573.090934,Aachener Straße / Oskar-Rehfeld-Weg / Stadion,Stadt Köln,Lindenthal,nein,---,nein,ja
3637,23506063.127453,56450611.910253,Aachener Straße / Walter-Binder-Weg / Peter-Günther-Weg,Stadt Köln,Lindenthal,nein,---,nein,ja
3638,23504035.54923,56450704.423153,Aachener Straße / Am Sportpark Müngersdorf / Marathonweg,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3134,23533466.042643,56440578.061185,Dürener Straße / Theresienstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3152,23538028.1,56439942.2,Bachemer Straße / Gleueler Straße / Schule,Stadt Köln,Lindenthal,nein,---,nein,nein
3153,23537208.275487,56438802.753116,Gleueler Straße / Joseph-Stelzmann-Straße / Geibelstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3169,23546471.059062,56436732.800885,Zülpicher Straße / Meister-Ekkehart-Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3170,23543081.380215,56434236.019117,Zülpicher Straße / Weyertal,Stadt Köln,Lindenthal,ja - taktil,---,nein,ja
3171,23539271.840134,56432339.685368,Zülpicher Straße / Joseph-Stelzmann-Straße / Gustavstraße,Stadt Köln,Lindenthal,ja - taktil,---,nein,nein
3172,23537125.59974,56431236.232718,Zülpicher Straße / Sülzburgstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3173,23531611.762064,56429753.443158,Zülpicher Straße / Mommsenstraße / Hermeskeiler Straße,Stadt Köln,Lindenthal,ja - taktil,---,nein,nein
3175,23530080.495713,56428270.73543,Hermeskeiler Straße / Neuenhöfer Allee,Stadt Köln,Lindenthal,nein,---,nein,nein
3180,23544463.056224,56431352.993838,Berrenrather Straße / Weyertal / Arnulfstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3194,23545274.880192,56435443.610113,Universitätsstraße / Zülpicher Straße,Stadt Köln,Lindenthal,ja - taktil,---,nein,ja
3195,23545089.379391,56436024.524781,Universitätsstr. / Kerpener Straße,Stadt Köln,Lindenthal,ja - taktil,---,nein,ja
3196,23546025.026158,56433221.686734,Universitätsstraße / Berrenrather Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3801,23537062.3813,56421072.247175,Berrenrather Straße / Neuenhöfer Allee,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3802,23539549.298132,56422260.916442,Sülzgürtel / Wichterichstraße / Nonnewerthstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3803,23538525.40197,56423411.280558,Sülzgürtel / Berrenrather Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3804,23536764.04639,56425472.213084,Sülzgürtel / Münstereifeler Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3805,23535874.005354,56426543.087479,Sülzgürtel / Mommsenstraße / Hollerather Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
3806,23535530.724625,56427697.78884,Sülzgürtel / Euskirchener Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3807,23535008,56429298.3,Sülzgürtel / Curtiusstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3808,23534698.143371,56430353.353104,Sülzgürtel / Lindenthalgürtel / Zülpicher Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3809,23533972.769239,56431757.751891,Lindenthalgürtel / Rurstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3810,23533509.957147,56432778.228359,Lindenthalgürtel / Kerpener Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3811,23532413.344399,56434059.642964,Lindenthalgürtel / Gleueler Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3812,23532226.306418,56435143.94975,Lindenthalgürtel / Franzstraße,Stadt Köln,Lindenthal,nein,---,nein,ja
3813,23531610.186903,56436429.833243,Lindenthalgürtel / Herderstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3814,23531320.731962,56436988.964524,Lindenthalgürtel / Bachemer Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3815,23530406.912405,56438754.264596,Stadtwaldgürtel / Dürener Straße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,ja
3816,23529887.119483,56442579.882267,Stadtwaldgürtel / Wüllnerstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3817,23529876.847089,56444442.509044,Stadtwaldgürtel / Rautenstrauchstraße,Stadt Köln,Lindenthal,ja - akustisch+taktil,---,nein,nein
3818,23530025.296371,56446123.563873,Stadtwaldgürtel / Friedrich-Schmidt-Straße,Stadt Köln,Lindenthal,nein,---,nein,nein
3819,23530298.666731,56447923.615917,Stadtwaldgürtel / Clarenbachstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3821,23531038.46492,56450366.116845,Melatengürtel / Scheidtweilerstraße,Stadt Köln,Lindenthal,nein,---,nein,nein
3870,23525307.759212,56437380.700156,Dürener Straße / Mommsenstraße / Kitschburger Straße,Stadt Köln,Lindenthal,nein,---,nein,ja
4001,23520206.481074,56476283.570694,Venloer Straße / Akazienweg,Stadt Köln,Ehrenfeld,nein,---,nein,ja
4002,23516841.162007,56478911.192403,Venloer Straße / Mathias-Brüggen-Straße,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4003,23514975.417133,56480619.213834,Venloer Straße / Wolffsohnstraße,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,nein
4004,23512318.827622,56482368.438315,Venloer Straße / Westendstraße / Kolkrabenweg,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,nein
4005,23509792.288963,56483748.132579,Venloer Straße / Westfriedhof,Stadt Köln,Ehrenfeld,ja - taktil,---,nein,nein
4006,23507079.840901,56485231.462129,Venloer Straße / Seeadlerweg / P+R-Ost,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,nein
4007,23505817.5375,56485170.775842,Venloer Straße / P+R-West,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4008,23503963.398382,56485271.273767,Militärringstraße / Venloer Straße,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4009,23495715.494814,56486735.797117,Freimersdorfer Weg / WDR,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4011,23511235.609871,56505927.053323,Militärringstraße / Mathias-Brüggen-Straße,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,ja
4012,23519476.428295,56494484.199705,Hugo-Eckener-Straße / Mathias-Brüggen-Straße,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4013,23526771.940676,56499393.562324,Butzweilerstraße / Butzweilerhofallee / AWB Ossendorf,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,nein
4014,23535554.89185,56487970.780888,Butzweilerstraße / Franziska-Anneke-Straße,Stadt Köln,Ehrenfeld,ja - taktil,---,nein,nein
4015,23537068.134601,56486232.09027,Butzweilerstraße / BAB57,Stadt Köln,Ehrenfeld,ja - akustisch+taktil,---,nein,ja
4016,23537952.694856,56485199.435414,Äußere Kanalstraße / Butzweilerstraße,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4017,23534643.286499,56481382.601477,Äußere Kanalstraße / Ossendorfer Straße / Frohnhofstraße,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4018,23501736.843596,56487162.112474,Venloer Straße / Freimersdorfer Weg / Andreas-Muhr-Staße,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4019,23504448.516778,56487060.724642,Militärringstraße / Andreas-Muhr-Straße / KVB-Querung,Stadt Köln,Ehrenfeld,nein,---,nein,nein
4026,23511746.889546,56470283.738902,Vogelsanger Straße / Vogelsanger Markt / Schule,Stadt Köln,Ehrenfeld,ja - taktil,---,nein,nein
4027,23514721.884821,56470112.617515,Vogelsanger Straße / Falkenweg,Stadt Köln,Ehrenfeld,nein,---,nein,nein
